NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,middle_gap
SLB,AN8068571086,,,,53.65,23.33,0,0,40.7,62.87,62.9,65.99,53.17,55.02,64.03,64.75,75.71,71.54,73.65,85.69,81.88,80.66,78.99,89.4,86.94,82.11,82.14,,0
ALUAR,ARALUA010258,,,,,,,,,,,,,,,,,,,15.61,13.09,12.48,10.95,13.01,12.29,18.05,46.55,,0
BANCO BBVA ARGENTINA,ARP125991090,,,,,,,,,,,,,,,,,,51.51,56.59,76.05,84.51,62.96,89.08,86.56,64.69,63.2,,0
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,,,,,,,,,,,,,,,,,,32.51,32.97,33.67,33.28,33.72,37.58,36.4,45.49,44.84,,0
STRABAG SE,AT000000STR1,,,,,,,,,3.81,22.87,30.9,44.29,58.66,49.97,50.09,48.69,55.55,56.98,58.9,65.29,63.2,59.22,59.59,67.01,60.38,62.61,,0
FLUGHAFEN WIEN,AT00000VIE62,,,,,18.31,27.55,10.48,4.84,1.31,23.14,31.84,28.27,31.09,30.45,27.17,34.81,51.84,47.48,78.01,78.16,72.9,74.21,75.18,75.48,67.95,66.27,,0
RAIFFEISEN BANK INTL.,AT0000606306,,,,,,,25.56,23.63,18.32,41.52,37.08,66.61,66.05,66.84,68.68,73.75,75.14,82.52,82.94,81.88,82.44,60.99,62.22,61.76,60.84,57.37,,0
ERSTE GROUP BANK,AT0000652011,,,,27.08,24.6,25.81,25.56,30.64,54.81,61.22,74.29,70.81,84.47,83.02,83.81,79.57,81.98,83.86,87.21,88.15,88.49,79.95,78.05,78.81,75.57,86.08,,0
TELEKOM AUSTRIA,AT0000720008,,,,,,,19.97,23.83,37.76,77.76,85.48,78.31,75.08,66.94,71.34,73.61,73.82,62.69,63.16,63.22,64.48,65.8,65.69,64.43,77.53,82.15,,0
ANDRITZ,AT0000730007,,,,70.16,35.72,58.85,3.99,18.49,24.67,21.1,45.53,50.59,43.91,53.18,54.31,62.49,67.44,70,73.15,70.63,78.88,78.15,81.99,79.82,79.13,76.93,,0
OMV,AT0000743059,,,,39.09,40.61,52.51,42.24,35.97,34.03,52.86,64.66,63.4,72.96,76.24,72.37,61.29,61.11,66.68,65.98,65.27,66.97,76.13,77.81,77.09,75.9,73.91,,0
VERBUND,AT0000746409,,,,,,,18.94,13.52,38.47,73.42,67.51,76.45,74.23,72.24,81.88,83.45,85.74,91.43,90.79,90.18,92.38,91.78,88.23,83.79,86.96,84.87,,0
WIENERBERGER,AT0000831706,,,,35.25,54.09,28.99,35.85,17.29,48.45,34.94,58.72,61.92,63.01,62.76,67.09,72.18,78.38,79.53,75.04,84.78,82.73,74.89,69.33,59.23,57.14,69.49,,0
VIENNA INSURANCE GROUP A,AT0000908504,,,,,,28.33,27.21,26.86,22.98,49.1,46.46,47.6,21.13,20.27,20.88,20.71,21.92,57.39,59.86,56.31,56.48,66.88,66.47,69.85,63.6,76.56,,0
VOESTALPINE,AT0000937503,,,,1.94,22.12,0,5.89,14.73,30.04,18.56,44.29,45,59.22,58.59,57.29,59.23,55.62,67.11,61.24,63.74,68.21,68.87,68.15,69.78,67.14,72.53,71.76,0
MAYR-MELNHOF KARTON,AT0000938204,,,,,,10.87,21.52,25.43,21.4,19.09,18.81,14.62,27.47,22.78,25.77,25.29,20.57,28.66,32.01,28.58,28.78,34.45,43.84,44.78,56.12,62.15,,0
