NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,middle_gap
SLB,AN8068571086,11815553,8394947,9611462,13746000,13474000,13893000,11480000,14309000,19230000,23277000,27163000,22702000,27447000,39540000,42149000,46294000,48580000,35475000,27810000,30440000,32815000,32917000,23601000,22929000,28091000,33135000,36289000,0
ALUAR,ARALUA010258,502548,421121,513305,235514,519396,465258,540032,602168,749045,891304,1006605,829255,1066351,1208355,1014051,799924,1031656,663161,872948,918285,1303214,1172625,727346,1433358,797835,696633,1595735,0
BANCO BBVA ARGENTINA,ARP125991090,1369027,1526409,1733614,939590,1969110,797622,594529,775298,920533,978911,994492,1244060,1330661,1332609,1657122,1438388,2073918,1623111,2020742,1931940,1857260,2165907,1799210,2596007,3945672,4540632,5403017,0
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,1230754,1015585,960669,313642,791120,930541,1252768,1437941,1638474,2031542,2307884,1665873,2384759,2801599,2475095,1985910,2483802,1668100,1783998,1961635,1981713,1772801,1503133,3113287,2668707,1188740,1924852,0
STRABAG SE,AT000000STR1,,,,,,5638446,6807347,8407903,12235949,14642998,15658030,17512594,17097457,18063959,17782013,16864581,14151345,14305220,13401141,16801595,17456631,17325632,17741750,17282251,18627478,19084356,17969915,0
FLUGHAFEN WIEN,AT00000VIE62,359354,303897,305607,275645,341821,433440,519086,496002,601881,772905,701805,699960,737163,766612,831865,840810,714797,713316,801440,936780,917064,948316,401359,459795,757889,1006309,1085832,0
RAIFFEISEN BANK INTL.,AT0000606306,,,,,1389943,2140377,3111777,3667003,6213652,9470902,10870652,10495943,13230807,12904673,13350128,11456741,8683838,7617442,6943100,8782913,8635536,8620798,8688552,8596766,13995351,16113074,14832059,0
ERSTE GROUP BANK,AT0000652011,3821257,3214362,3971586,4585695,7667985,8361983,9267310,9421937,14539580,20887461,18638465,18511387,16422569,15710231,16802146,13793159,10402977,10178337,9519307,10644976,11171973,11155927,11214906,10982736,15539458,24970079,23887041,0
TELEKOM AUSTRIA,AT0000720008,3843900,3618630,2626752,2290273,3347278,4938921,5286794,5276545,6175387,7291355,6620737,6699782,6422271,5867678,5930020,5655859,4557637,4389168,4457693,5322949,4981141,4941993,5369390,5271007,5378471,5573291,5482120,0
ANDRITZ,AT0000730007,756052,637422,1037295,1135553,1191716,1524058,1930734,2108437,3515737,4865615,4622464,4461212,4907365,6053888,7090325,7719819,6646258,6951476,6526299,7324554,6916965,7379706,8058604,7301038,8252465,9355003,8575055,0
