,NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1,ALUAR,ARALUA010258,1197.79,1842.92,1696.14,1283.9,1390.25,2554.62,2424.86,2338.21,2838.57,3770.07,1608.15,2470.32,3879.73,2386.69,2050.0,2070.22,3244.62,2574.1,2659.71,3610.17,2463.05,2730.35,2844.24,4582.34,6044.83,7181.17,4496.21
2,BANCO BBVA ARGENTINA,ARP125991090,295.08,407.14,557.68,99.53,80.1,165.39,141.58,152.28,232.67,158.95,62.16,168.68,329.59,209.04,237.83,267.86,629.5,628.64,620.38,773.46,455.67,240.17,168.03,234.29,335.64,369.59,1162.25
3,TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,69.81,177.1,135.08,56.11,85.67,223.71,297.31,442.55,347.12,420.85,163.0,317.98,443.05,345.18,313.83,418.95,662.39,509.57,662.53,812.0,428.66,421.45,626.44,1272.22,1693.55,1470.39,911.08
117,CHINA YURUN FOOD GROUP,BMG211591018,,,,,,,,19.29,23.55,35.55,33.35,79.89,90.86,48.54,21.49,17.1,10.87,4.03,4.6,4.38,4.37,2.47,2.77,3.21,1.48,0.65,0.59
144,AMBEV ON,BRABEVACNOR1,,57.39,190.61,119.39,94.5,167.03,390.83,333.33,469.09,706.82,368.21,958.84,1342.7,1892.42,2906.27,2133.46,2250.36,1619.91,2049.46,2619.69,1958.21,1680.49,1215.1,1188.28,1198.17,1264.8,959.91
145,BANCO DO BRASIL ON,BRBBASACNOR3,30.22,35.1,31.82,33.07,25.49,73.38,128.37,295.95,391.69,613.25,229.03,696.27,792.21,761.26,629.59,470.33,454.32,219.34,695.82,882.14,1077.11,914.2,525.3,538.03,787.21,1279.11,1148.14
146,BANCO BRADESCO PN,BRBBDCACNPR8,143.95,280.31,301.59,236.48,146.24,264.11,413.98,1267.78,1403.05,1864.1,936.03,2160.37,2537.58,2595.88,2710.21,1744.71,2179.65,965.73,2490.95,3397.03,3923.24,3082.75,2164.72,2242.84,1713.83,2044.41,1472.94
147,BRF BRASIL FOODS ON DEAD - DELIST.23/09/25,BRBRFSACNOR8,101.6,231.72,228.86,203.09,151.1,326.04,636.27,1538.44,1500.52,2732.04,1525.71,2885.58,3944.02,4951.28,5301.14,4266.79,6077.32,3113.35,3770.29,2880.69,1732.0,1971.11,1080.67,1041.57,438.19,798.13,1052.51
148,BRASKEM PN A,BRBRKMACNPA4,36.25,166.88,178.65,133.22,31.46,269.54,586.8,390.42,385.37,402.15,133.71,397.58,680.98,504.2,458.93,440.85,293.91,370.69,738.2,1122.31,1107.12,626.94,402.61,871.72,423.51,333.43,212.04
149,CMPH.ENGT.DE SAOP.B PN DEAD - DELIST.29/03/22,BRCESPACNPB4,,,,,,,,,67.27,150.16,30.01,79.59,100.08,118.03,64.29,63.51,67.13,30.79,58.35,49.04,63.85,80.03,64.73,55.64,55.64,55.64,55.64
150,CIA ENERGETICA DE MINAS GERAIS PN,BRCMIGACNPR3,126.01,149.83,154.95,130.95,72.28,167.89,241.72,570.71,627.35,648.89,577.89,954.98,1125.37,1564.84,1366.47,1280.56,1289.77,387.16,944.86,792.78,1385.56,1391.02,1130.47,1268.53,1733.79,1935.75,2386.24
151,CPFL ENERGIA ON,BRCPFEACNOR0,,,,,,,40.03,85.02,90.81,135.56,100.09,169.99,226.51,292.53,217.21,157.16,155.14,93.28,199.85,164.36,211.87,232.5,161.32,163.27,219.79,262.83,236.37
152,CIA PARANAENSE DE ENERGIA COPEL PN B,BRCPLEACNPB9,41.01,74.47,92.55,69.04,24.77,39.1,44.9,99.99,132.81,169.09,107.77,259.44,317.34,304.31,228.13,161.64,188.77,82.87,172.1,138.56,189.04,354.92,258.14,339.82,430.56,597.57,517.77
153,COSAN INDUSTRIA E COMERCIO ON,BRCSANACNOR6,,,,,,,,78.65,103.27,86.07,23.92,69.59,88.11,94.46,137.85,84.16,63.19,43.05,99.21,105.27,96.37,157.31,121.36,151.97,112.51,129.44,49.62
154,COMPANHIA SIDERURGICA NACIONAL ON,BRCSNAACNOR6,67.26,182.51,223.82,186.22,209.39,806.73,1323.13,2165.2,2925.04,9063.02,4172.76,9283.52,10353.61,6874.51,3922.18,3371.06,1332.99,805.45,3323.07,2862.59,2368.71,2809.85,5224.68,4893.97,3933.86,4440.55,2211.11
155,CYRELA BRAZIL REALTY ON,BRCYREACNOR7,,,,,,,,173.97,235.09,380.49,111.0,349.95,310.39,288.71,262.77,172.92,125.14,59.7,137.79,160.95,166.93,299.08,209.8,137.58,135.91,214.2,172.61
156,DEXCO ON,BRDXCOACNOR8,,,,,,,,,,43.29,14.2,79.0,83.56,62.3,75.06,57.59,39.23,19.01,37.51,48.22,55.31,60.52,64.61,54.51,33.91,36.88,24.64
157,ENGIE BRASIL ENERGIA ON,BREGIEACNOR9,30.12,55.94,87.89,86.9,58.96,267.86,224.78,507.52,671.82,982.12,687.31,1060.09,1594.99,1815.51,2007.43,1697.94,1521.13,1127.09,1637.91,1666.03,2315.72,2651.09,1871.22,1818.78,1948.33,2188.25,1815.76
