NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
ALUAR,ARALUA010258,896.86,1345.29,1210.22,906.29,972.17,1667.6,1450.59,1495.03,1725.35,2285.45,970.3,1887.81,2958.44,1747.4,1480.56,1484.13,2322.34,1833.55,1848.8,2291.55,1434.93,1507.85,1570.74,2499.08,3122.5,3634.73,2270.35
BANCO BBVA ARGENTINA,ARP125991090,983.18,1612.37,2139.19,367.5,519.38,1072.4,1072.79,1153.88,1749.44,1176.34,437.75,1176.73,2061.76,1187.79,1351.34,1521.97,3572.21,3567.37,3440.47,4715.42,2745.21,1402.83,981.47,1368.5,1782.9,1963.25,4915.75
TERNIUM ARGENTINA SOCIEDAD ANONIMA,ARSIDE010029,559.53,1404.04,1053.3,437.54,668.0,1716.63,2256.1,3232.27,2500.74,2969.48,1130.43,2205.28,2961.87,2003.86,1768.3,2175.63,3296.19,2481.5,3040.21,3638.89,1878.58,1763.68,2621.55,5324.0,6728.52,5841.89,3619.76
CHINA YURUN FOOD GROUP,BMG211591018,,,,,,,,1057.58,1268.39,1993.68,1847.97,4760.84,5790.61,3045.65,1348.71,1072.85,681.78,252.72,288.94,275.0,274.1,154.87,174.01,201.14,92.97,40.56,36.72
AMBEV ON,BRABEVACNOR1,,824.53,4254.0,2632.16,2026.97,3401.33,11619.58,11774.29,16068.83,23597.47,11679.65,29250.38,39440.47,53618.81,79364.66,100153.15,101281.17,70529.18,86312.94,107409.66,78003.48,65295.38,45800.98,43128.54,41333.36,41439.47,29829.7
BANCO DO BRASIL ON,BRBBASACNOR3,1570.16,1724.01,1504.11,1507.73,2030.77,5470.51,9802.22,21924.1,27068.64,42190.45,14926.64,42733.2,50831.49,45530.45,35153.0,23781.35,21454.55,9368.1,28398.84,34919.17,40906.52,32977.56,18198.43,17336.33,22628.0,33286.37,27156.02
BANCO BRADESCO PN,BRBBDCACNPR8,2204.24,4287.1,4556.45,3463.12,2140.88,3952.05,6200.27,18620.72,20508.33,27271.86,13263.3,30143.05,34980.31,34812.35,35163.06,21927.88,26573.61,11245.61,27724.93,36436.03,41145.39,31486.8,20782.53,20534.97,14845.45,16377.9,11003.63
BRF BRASIL FOODS ON DEAD - DELIST.23/09/25,BRBRFSACNOR8,53.57,119.01,116.75,96.22,70.75,147.0,271.55,627.86,2167.72,4374.26,2685.56,10650.9,14396.9,17658.0,18746.61,14816.78,20761.92,10419.02,11575.4,8844.18,5317.52,6051.64,3317.84,4074.09,1713.98,4852.29,6222.68
BRASKEM PN A,BRBRKMACNPA4,91.08,393.33,381.71,258.58,112.27,1140.39,2868.67,1834.09,1831.41,2296.64,773.83,2398.25,4350.94,3100.14,2666.65,2561.63,1644.54,1971.74,3536.32,5227.32,4943.87,2723.12,1748.77,3322.48,1550.68,1220.86,776.39
CMPH.ENGT.DE SAOP.B PN DEAD - DELIST.29/03/22,BRCESPACNPB4,,,,,,,,,2425.14,5413.61,1075.53,2810.87,3494.08,4024.15,2105.52,1944.49,1835.53,670.53,1228.55,1005.3,1306.08,1582.68,1168.25,926.86,1066.23,1071.99,914.15
CIA ENERGETICA DE MINAS GERAIS PN,BRCMIGACNPR3,1353.71,1557.26,1544.63,1280.23,662.61,1492.93,2004.21,4218.18,4438.45,4386.4,3717.1,5810.88,6230.42,7863.82,5333.31,4753.43,3876.85,1098.08,2448.65,2246.33,3647.56,3478.1,2692.26,2771.18,3350.2,3350.61,3658.88
CPFL ENERGIA ON,BRCPFEACNOR0,,,,,,,3114.79,6597.02,6563.88,8843.54,6051.38,9499.04,11747.53,14341.55,10051.44,6978.12,6545.09,3935.49,8274.03,6804.44,8672.72,10602.35,6954.94,6167.06,7542.37,8262.6,6848.3
CIA PARANAENSE DE ENERGIA COPEL PN B,BRCPLEACNPB9,594.09,1035.57,1236.36,887.43,311.47,491.64,555.14,1202.4,1564.84,1913.05,1176.39,2677.54,3219.87,2961.35,2148.86,1443.1,1568.67,670.52,1333.93,963.97,1265.31,2270.22,1583.72,2249.4,2544.75,3400.07,2818.76
COSAN INDUSTRIA E COMERCIO ON,BRCSANACNOR6,,,,,,,,2736.94,3615.29,4289.29,1432.64,5172.98,6431.57,6753.87,9662.51,5800.17,3778.02,2500.06,5377.86,5573.74,4956.05,7648.92,5776.19,8354.49,6043.56,6770.22,2498.74
COMPANHIA SIDERURGICA NACIONAL ON,BRCSNAACNOR6,874.26,2227.55,2504.52,1116.07,1202.31,3882.17,5921.1,7322.83,9278.63,26955.74,12079.41,23456.13,24854.98,15371.16,8207.16,6386.96,2242.37,1305.49,5386.09,4639.74,3839.25,4262.27,7917.07,7057.18,4860.61,4780.76,2150.36
CYRELA BRAZIL REALTY ON,BRCYREACNOR7,,,,,,,,2199.11,3499.54,4923.4,1434.56,5305.84,4611.89,4202.09,3698.01,2364.94,1591.35,733.26,1647.66,1911.34,1832.15,3060.44,2020.0,1268.46,1206.68,1811.76,1363.56
DEXCO ON,BRDXCOACNOR8,,,,,,,,,,586.33,185.16,4287.02,4460.49,3237.58,3818.36,2867.73,1889.73,862.09,1740.06,2212.3,2369.0,2529.83,2657.3,2044.3,1214.8,1261.71,829.49
ENGIE BRASIL ENERGIA ON,BREGIEACNOR9,266.67,495.38,843.83,717.62,452.25,1921.08,1485.18,4443.71,5551.29,7616.73,4918.91,7063.38,10233.88,11193.27,11566.92,9154.64,7633.46,5377.49,7545.04,7295.93,9535.78,10125.74,6732.35,6218.76,6275.1,6519.21,5084.63
GAFISA ON,BRGFSAACNOR3,,,,,,,,,1694.28,2287.52,685.46,2362.15,2618.04,1342.47,1115.47,513.85,288.9,219.84,314.57,253.71,172.11,236.97,270.24,131.78,126.94,152.68,26.86
GERDAU PN,BRGGBRACNPR8,341.8,1036.49,796.77,727.88,673.07,1972.56,3126.65,6054.11,7503.04,11701.87,5923.51,13521.2,13515.31,11730.19,10125.2,7819.02,4010.04,1072.55,4668.7,5184.32,4960.62,5556.44,4908.61,6259.14,6762.34,4997.42,4001.56
METALURGICA GERDAU PN,BRGOAUACNPR8,97.13,333.41,238.84,221.23,206.02,644.39,1290.39,2080.66,2688.11,4526.38,2288.77,4905.95,4371.99,3533.21,3087.02,2323.71,1045.05,175.37,1184.65,1407.03,1346.42,1685.01,1416.56,1618.47,1811.17,1343.58,1095.32
ITAUSA INVESTIMENTOS ITAU PN,BRITSAACNPR7,934.63,2034.99,2121.58,1683.74,1042.2,2321.19,3646.45,8114.84,11222.13,12250.12,7255.35,16828.8,18800.93,18447.44,15358.61,11407.89,12856.0,6598.3,13631.05,18769.24,20479.0,16738.19,11128.67,10980.18,10604.81,13615.65,11519.62
ITAU UNIBANCO HOLDING PN,BRITUBACNPR1,2077.11,3795.57,4747.75,3577.49,2341.2,5234.56,8565.0,15918.21,22483.36,26206.86,14213.81,46278.09,49012.23,47236.85,39337.64,30955.18,34097.28,17621.47,38779.03,52007.16,51522.47,37614.43,25716.16,22937.2,24454.22,31930.13,27844.32
KLABIN PN,BRKLBNACNPR9,,,,279.42,185.73,757.55,1179.85,1151.29,1440.77,2145.68,828.15,1659.78,2050.11,2703.93,4186.18,3121.64,2947.56,2411.12,2528.74,3360.55,3021.53,3321.37,3639.77,3148.8,2704.0,2989.06,2957.4
LIGHT ON,BRLIGTACNOR2,598.68,1939.69,1782.79,721.06,421.45,889.88,826.66,888.38,1617.02,2713.0,2067.62,2788.98,3185.08,3181.31,2115.78,1568.88,1133.86,403.09,1291.54,1013.09,1093.36,1627.77,1502.62,794.22,243.87,433.38,269.19
CMPBRA.DE DISTB.ON,BRPCARACNOR3,474.58,481.34,1010.56,1315.72,1091.46,1295.9,1456.81,1550.21,2375.7,2224.75,1446.18,3252.2,4490.24,4333.98,3772.09,3081.84,2769.3,1375.7,3508.91,2630.34,2567.23,2222.43,4087.66,1147.64,1060.96,223.99,222.95
PETROLEO BRASILEIRO PN,BRPETRACNPR6,3968.46,10720.04,12215.28,9031.12,6210.03,12300.54,16790.95,37289.96,41723.04,86515.66,38989.23,68621.38,93551.23,79690.76,52209.18,32004.93,17982.28,6011.84,26693.95,34734.51,39595.85,37245.73,29938.12,34369.06,27496.57,46259.44,35053.44
LOCALIZA RENT A CAR ON,BRRENTACNOR4,,,,,,,,1109.05,2035.32,1864.26,702.34,2230.96,3120.03,3360.64,3716.93,2620.92,2762.56,1162.86,2644.67,5261.3,5994.88,9745.49,9547.87,8365.0,11901.33,11554.29,5849.15
CPAD.SANMT.BASICO DE SAOP.ON,BRSBSPACNOR5,1246.44,3165.82,3111.92,1652.99,695.9,1381.91,1479.62,2208.41,3950.71,5001.63,2276.91,3955.86,5614.07,7663.3,10415.51,5949.05,3361.99,3531.08,6960.12,7516.75,8282.19,9959.59,5383.57,4696.29,7622.36,10831.6,11283.82
