Date,Valeur
1/31/2000,0.41
2/29/2000,0.43
3/31/2000,0.47
4/30/2000,0.46
5/31/2000,0.50
6/30/2000,0.40
7/31/2000,0.48
8/31/2000,0.50
9/30/2000,0.51
10/31/2000,0.56
11/30/2000,0.51
12/31/2000,0.50
1/31/2001,0.54
2/28/2001,0.38
3/31/2001,0.42
4/30/2001,0.39
5/31/2001,0.32
6/30/2001,0.28
7/31/2001,0.30
8/31/2001,0.31
9/30/2001,0.28
10/31/2001,0.22
11/30/2001,0.17
12/31/2001,0.15
1/31/2002,0.14
2/28/2002,0.13
3/31/2002,0.13
4/30/2002,0.15
5/31/2002,0.14
6/30/2002,0.13
7/31/2002,0.15
8/31/2002,0.14
9/30/2002,0.14
10/31/2002,0.14
11/30/2002,0.12
12/31/2002,0.11
1/31/2003,0.10
2/28/2003,0.09
3/31/2003,0.10
4/30/2003,0.10
5/31/2003,0.09
6/30/2003,0.10
7/31/2003,0.07
8/31/2003,0.07
9/30/2003,0.08
10/31/2003,0.07
11/30/2003,0.07
12/31/2003,0.08
1/31/2004,0.07
2/29/2004,0.06
3/31/2004,0.09
4/30/2004,0.08
5/31/2004,0.06
6/30/2004,0.08
7/31/2004,0.10
8/31/2004,0.11
9/30/2004,0.11
10/31/2004,0.11
11/30/2004,0.15
12/31/2004,0.16
1/31/2005,0.16
2/28/2005,0.16
3/31/2005,0.21
4/30/2005,0.21
5/31/2005,0.24
6/30/2005,0.23
7/31/2005,0.24
8/31/2005,0.30
9/30/2005,0.29
10/31/2005,0.27
11/30/2005,0.31
12/31/2005,0.32
1/31/2006,0.35
2/28/2006,0.34
3/31/2006,0.37
4/30/2006,0.36
5/31/2006,0.43
6/30/2006,0.40
7/31/2006,0.40
8/31/2006,0.42
9/30/2006,0.41
10/31/2006,0.41
11/30/2006,0.42
12/31/2006,0.40
1/31/2007,0.44
2/28/2007,0.38
3/31/2007,0.43
4/30/2007,0.44
5/31/2007,0.41
6/30/2007,0.40
7/31/2007,0.40
8/31/2007,0.42
9/30/2007,0.32
10/31/2007,0.32
11/30/2007,0.34
12/31/2007,0.27
1/31/2008,0.21
2/29/2008,0.13
3/31/2008,0.17
4/30/2008,0.18
5/31/2008,0.18
6/30/2008,0.17
7/31/2008,0.15
8/31/2008,0.13
9/30/2008,0.15
10/31/2008,0.08
11/30/2008,0.03
12/31/2008,0.00
1/31/2009,0.00
2/28/2009,0.01
3/31/2009,0.02
4/30/2009,0.01
5/31/2009,0.00
6/30/2009,0.01
7/31/2009,0.01
8/31/2009,0.01
9/30/2009,0.01
10/31/2009,0.00
11/30/2009,0.00
12/31/2009,0.01
1/31/2010,0.00
2/28/2010,0.00
3/31/2010,0.01
4/30/2010,0.01
5/31/2010,0.01
6/30/2010,0.01
7/31/2010,0.01
8/31/2010,0.01
9/30/2010,0.01
10/31/2010,0.01
11/30/2010,0.01
12/31/2010,0.01
1/31/2011,0.01
2/28/2011,0.01
