ISIN,NAME,Country,Region
ARALUA010258,ALUAR,AR,EM
ARP125991090,BANCO BBVA ARGENTINA,AR,EM
ARSIDE010029,TERNIUM ARGENTINA SOCIEDAD ANONIMA,AR,EM
BMG211591018,CHINA YURUN FOOD GROUP,CN,EM
BRABEVACNOR1,AMBEV ON,BR,EM
BRBBASACNOR3,BANCO DO BRASIL ON,BR,EM
BRBBDCACNPR8,BANCO BRADESCO PN,BR,EM
BRBRFSACNOR8,BRF BRASIL FOODS ON DEAD - DELIST.23/09/25,BR,EM
BRBRKMACNPA4,BRASKEM PN A,BR,EM
BRCESPACNPB4,CMPH.ENGT.DE SAOP.B PN DEAD - DELIST.29/03/22,BR,EM
BRCMIGACNPR3,CIA ENERGETICA DE MINAS GERAIS PN,BR,EM
BRCPFEACNOR0,CPFL ENERGIA ON,BR,EM
BRCPLEACNPB9,CIA PARANAENSE DE ENERGIA COPEL PN B,BR,EM
BRCSANACNOR6,COSAN INDUSTRIA E COMERCIO ON,BR,EM
BRCSNAACNOR6,COMPANHIA SIDERURGICA NACIONAL ON,BR,EM
BRCYREACNOR7,CYRELA BRAZIL REALTY ON,BR,EM
BRDXCOACNOR8,DEXCO ON,BR,EM
BREGIEACNOR9,ENGIE BRASIL ENERGIA ON,BR,EM
BRGFSAACNOR3,GAFISA ON,BR,EM
BRGGBRACNPR8,GERDAU PN,BR,EM
BRGOAUACNPR8,METALURGICA GERDAU PN,BR,EM
BRITSAACNPR7,ITAUSA INVESTIMENTOS ITAU PN,BR,EM
BRITUBACNPR1,ITAU UNIBANCO HOLDING PN,BR,EM
BRKLBNACNPR9,KLABIN PN,BR,EM
BRLIGTACNOR2,LIGHT ON,BR,EM
BRPCARACNOR3,CMPBRA.DE DISTB.ON,BR,EM
BRPETRACNPR6,PETROLEO BRASILEIRO PN,BR,EM
BRRENTACNOR4,LOCALIZA RENT A CAR ON,BR,EM
BRSBSPACNOR5,CPAD.SANMT.BASICO DE SAOP.ON,BR,EM
BRSUZBACNOR0,SUZANO ON,BR,EM
BRUSIMACNPA6,USINAS SIDERURGICAS DE MINAS GERAIS PN A,BR,EM
BRVALEACNOR0,VALE ON,BR,EM
BRVIVTACNOR0,TELEFONICA BRASIL ON,BR,EM
BRWEGEACNOR0,WEG ON,BR,EM
CL0000000035,AGUAS ANDINAS,CL,EM
CL0000000100,CENCOSUD,CL,EM
CL0000000423,LATAM AIRLINES GROUP,CL,EM
CL0000001256,INVERSIONES AGUAS METROPOLITANAS,CL,EM
CL0000001314,EMPRESAS CMPC,CL,EM
CL0002694637,AES ANDES DEAD - DELIST.18/04/24,CL,EM
CL0002841873,BANCO ITAU CHILE,CL,EM
CLP0362E1386,ANTAR CHILE,CL,EM
CLP0939W1081,BANCO DE CHILE,CL,EM
CLP1506A1070,BANCO SANTANDER CHILE,CL,EM
CLP249051044,COMPANIA CERVECERIAS UNIDAS,CL,EM
CLP256251073,CAP,CL,EM
CLP321331116,BANCO DE CREDITO E INVERSION,CL,EM
CLP3615W1037,COLBUN MACHICURA,CL,EM
CLP3697S1034,EMBOTELLADORA ANDINA SERIES B,CL,EM
CLP3710M1090,ENEL GENERACION CHILE,CL,EM
CLP371151059,EMPRESA NACIONAL DE TELECOMUNICA,CL,EM
CLP371861061,ENEL AMERICAS,CL,EM
CLP3880F1085,FALABELLA SACI,CL,EM
CLP7847L1080,EMPRESAS COPEC,CL,EM
CLP7980K1070,QUINENCO,CL,EM
CLP9796J1008,VINA CONCHA Y TORO,CL,EM
CNE0000000T2,CHINA VANKE 'A',CN,EM
